latitude	longitude	store_name	code	location	imei
50.75767	-1.5443	Lymington	GB	Europe/London	3590433799317661636
53.95278	32.86389	Roslavl’	RU	Europe/Moscow	359043379931766130
20.74122	-100.44843	Santa Rosa Jauregui	MX	America/Mexico_City	8630330696303482261
54.58048	16.86194	Ustka	PL	Europe/Warsaw	8630330696303481164
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	359043379931766262
44.98901	38.94324	Yablonovskiy	RU	Europe/Moscow	3590433799317662147
29.84576	-90.10674	Estelle	US	America/Chicago	8630330696303481925
-21.205	-41.88778	Itaperuna	BR	America/Sao_Paulo	863033069630348701
48.77275	5.16108	Bar-le-Duc	FR	Europe/Paris	359043379931766775
45.44868	-73.81669	Pointe-Claire	CA	America/Toronto	863033069630348743
52.71083	5.74861	Emmeloord	NL	Europe/Amsterdam	863033069630348495
40.56754	-89.64066	Pekin	US	America/Chicago	3590433799317661768
60.2052	24.6522	Espoo	FI	Europe/Helsinki	8630330696303482329
-22.9	44.53333	Sakaraha	MG	Indian/Antananarivo	359043379931766734
-34.74785	-58.70072	Pontevedra	AR	America/Argentina/Buenos_Aires	359043379931766593
41.24264	16.50104	Bisceglie	IT	Europe/Rome	3590433799317661214
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	3590433799317662485
34.25	135.31667	Iwade	JP	Asia/Tokyo	3590433799317662071
-23.85972	35.34722	Maxixe	MZ	Africa/Maputo	3590433799317662006
36.19278	117.65694	Laiwu	CN	Asia/Shanghai	359043379931766437
10.58806	77.24779	Udumalaippettai	IN	Asia/Kolkata	863033069630348263
52.86147	9.5926	Walsrode	DE	Europe/Berlin	3590433799317661636
43.16547	-77.70066	Gates-North Gates	US	America/New_York	8630330696303481578
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	3590433799317662378
-7.51611	109.05389	Wangon	ID	Asia/Jakarta	863033069630348495
25.80565	68.49143	Bhit Shah	PK	Asia/Karachi	863033069630348826
50.88506	4.07601	Denderleeuw	BE	Europe/Brussels	3590433799317662402
12.35275	121.06761	San Jose	PH	Asia/Manila	8630330696303482105
-21.42917	-45.94722	Alfenas	BR	America/Sao_Paulo	8630330696303481883
40.49748	44.7662	Hrazdan	AM	Asia/Yerevan	359043379931766528
33.50921	-111.89903	Scottsdale	US	America/Phoenix	3590433799317661396
52.21099	7.02238	Gronau	DE	Europe/Berlin	863033069630348131
-22.53722	-42.98194	Guapimirim	BR	America/Sao_Paulo	359043379931766890
16.455	120.5875	La Trinidad	PH	Asia/Manila	863033069630348958
-15.21194	-75.11028	Minas de Marcona	PE	America/Lima	863033069630348156
12.18441	18.69303	Mongo	TD	Africa/Ndjamena	863033069630348248
27.52948	68.75915	Khairpur Mir’s	PK	Asia/Karachi	359043379931766981
35.74788	-95.36969	Muskogee	US	America/Chicago	3590433799317662428
33.78333	114.51667	Wacheng	CN	Asia/Shanghai	8630330696303481388
46.1351	-60.1831	Sydney	CA	America/Glace_Bay	8630330696303481644
47.90771	106.88324	Ulan Bator	MN	Asia/Ulaanbaatar	3590433799317662063
48.21644	9.02596	Albstadt	DE	Europe/Berlin	3590433799317661305
-22.9	44.53333	Sakaraha	MG	Indian/Antananarivo	3590433799317662469
-7.54972	110.71639	Ngemplak	ID	Asia/Jakarta	8630330696303481743
46.51872	86.00214	Hoxtolgay	CN	Asia/Urumqi	863033069630348529
36.72544	3.55665	Thenia	DZ	Africa/Algiers	863033069630348479
42.4251	-71.06616	Malden	US	America/New_York	3590433799317661040
49.13645	8.91229	Eppingen	DE	Europe/Berlin	359043379931766395
41.09822	120.74792	Nanpiao	CN	Asia/Shanghai	8630330696303481438
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	8630330696303481230
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	8630330696303481305
43.54072	-116.56346	Nampa	US	America/Boise	3590433799317661800
12.35275	121.06761	San Jose	PH	Asia/Manila	359043379931766262
-33.79176	151.08057	Eastwood	AU	Australia/Sydney	3590433799317661990
-27.4338	-65.61427	Aguilares	AR	America/Argentina/Tucuman	863033069630348792
33.03699	-117.29198	Encinitas	US	America/Los_Angeles	8630330696303481362
36.02506	-86.77917	Brentwood Estates	US	America/Chicago	8630330696303481529
41.75338	-86.11084	Granger	US	America/Indiana/Indianapolis	3590433799317662444
35.64889	117.27583	Sishui	CN	Asia/Shanghai	359043379931766965
46.32313	-0.45877	Niort	FR	Europe/Paris	8630330696303481743
46.65581	32.6178	Kherson	UA	Europe/Kyiv	8630330696303481842
40.72371	-73.95097	Greenpoint	US	America/New_York	359043379931766312
42.8139	-1.64295	Segundo Ensanche	ES	Europe/Madrid	359043379931766049
58.63667	59.80222	Lesnoy	RU	Asia/Yekaterinburg	8630330696303482121
46.1351	-60.1831	Sydney	CA	America/Glace_Bay	359043379931766098
